rank,asin,title,brand,category,product_type,deal_price_mxn,basis_price_mxn,basis_price_type,display_discount_pct,calculated_discount_pct,deal_message,deal_end_time,deal_type,percent_claimed,is_lightning_deal,rating,review_count,product_url,image_url,discount_difference_pp,category_clean,is_timed_deal,absolute_savings_mxn,price_band,extracted_at_utc,marketplace,currency
145,B0GZ318KSG,"Kitchen in the Box Batidora de Pedestal, 3.5L Amasadora para Repostería | 10 Vel., Batidora Planetaria, 3 en 1 Compacta para 1–2 Personas, Eléctrica Amasadora para Principiantes, Negro",Kitchen in the box,gl_kitchen,FOOD_MIXER,1399.98,1999.99,Precio de lista:,30.0,30.00065000325002,Promoción,,BEST_DEAL,,False,5.0,9.0,https://www.amazon.com.mx/Kitchen-Batidora-Pedestal-Amasadora-Reposter%C3%ADa/dp/B0GZ318KSG,https://m.media-amazon.com/images/I/713FVpDtmDL.jpg,0.0006500032500191821,Kitchen,False,600.01,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
146,B0FW6CXBLZ,"Samsung Monitor Odyssey LS27FG702ELXZX G7 27'', 4K, 180Hz, LS27FG702ELXZX, Panel VA, Tiempo de Respuesta de 0.01ms (GtG), FreeSync Premium",Samsung,gl_pc,MONITOR,9199.0,11599.0,Precio de lista:,21.0,20.69143891714803,Promoción,,BEST_DEAL,,False,5.0,9.0,https://www.amazon.com.mx/Samsung-3840x2160-LS27FG702ELXZX-Respuesta-FreeSync/dp/B0FW6CXBLZ,https://m.media-amazon.com/images/I/71pICMuWicL.jpg,0.3085610828519698,Pc,False,2400.0,"$5,000+",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
147,B0G2XG9WL8,"NORTIV 8 Botas Seguridad Hombre Puntera Compuesta | Calzado Trabajo, Amortiguado, Cremallera Lateral",NORTIV 8,gl_shoes,BOOT,1218.88,1399.0,Precio de lista:,13.0,12.87491065046461,Promoción,,BEST_DEAL,,False,4.0,575.0,https://www.amazon.com.mx/NORTIV-Seguridad-Hombre-Puntera-Compuesta/dp/B0G2XG9WL8,https://m.media-amazon.com/images/I/81AcKrqZX5L.jpg,0.12508934953538997,Shoes,False,180.1199999999999,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
148,B0D7QVPQPW,SimilacTotal Comfort 2 Fórmula Baja en Lactosa Pack 2x800g | Fórmula Etapa 2 para niños de 1 a 3 años con necesidades especiales de nutrición con proteína parcialmente hidrolizada,Similac,gl_drugstore,BABY_FORMULA,940.18,1253.58,Precio de lista:,25.0,25.00039885767163,Promoción,,BEST_DEAL,,False,4.0,58.0,https://www.amazon.com.mx/Similac-Comfort-F%C3%B3rmula-Infantil-Lactosa/dp/B0D7QVPQPW,https://m.media-amazon.com/images/I/61wzXuRRVnL.jpg,0.00039885767163028163,Drugstore,False,313.4,$500–999,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
149,B0DTTMYBRH,"Polaroid Now 3ª generación de cámara instantánea Tipo I + Paquete de película, Ahora cámara Negra + 16 Fotos en Color (6560)",Polaroid,gl_camera,CAMERA_FILM,2692.63,3167.8,Precio de lista:,15.0,15.000000000000002,Promoción,,BEST_DEAL,,False,4.0,1272.0,https://www.amazon.com.mx/Polaroid-generaci%C3%B3n-instant%C3%A1nea-Paquete-pel%C3%ADcula/dp/B0DTTMYBRH,https://m.media-amazon.com/images/I/71ctreAHYdL.jpg,1.7763568394002505e-15,Camera,False,475.1700000000001,"$2,500–4,999",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
150,B0F358NBFP,Ninja Freidora de Aire Pro XL 6.5QT 6 en 1 Max Crisp Gris AF181LAA | MaxCrisp 230°C sin Aceite | 6.5QT Cocina Hasta 4kg | 6 Funciones | Apto Lavavajillas,Ninja,gl_kitchen,AIR_FRYER,2849.0,3999.99,Precio de lista:,29.0,28.77482193705484,Promoción,,BEST_DEAL,,False,4.0,21.0,https://www.amazon.com.mx/Ninja-Freidora-Aire-6-5QT-Crisp/dp/B0F358NBFP,https://m.media-amazon.com/images/I/515CHu9w7dL.jpg,0.22517806294516163,Kitchen,False,1150.9899999999998,"$2,500–4,999",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
151,B0GN4KKYBZ,"ULTRACHEF Bateria de Cocina Antiadherentes Master Stone Gris 12 Piezas | 100% libre de PFOA, Piedra de Alemania, Incluye Sartén 20, 24, 28 cm/ Olla 18, 24 cm/ Separadores / Utencilios",ULTRACHEF,gl_kitchen,COOKWARE_SET,2499.0,3147.0,Precio de lista:,21.0,20.59103908484271,Promoción,,BEST_DEAL,,False,4.0,25.0,https://www.amazon.com.mx/ULTRACHEF-Bateria-Cocina-Antiadherentes-Master/dp/B0GN4KKYBZ,https://m.media-amazon.com/images/I/81M0nBkFw0L.jpg,0.4089609151572908,Kitchen,False,648.0,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
152,B09ML1499B,"HUAWEI Watch Kids 4 Pro (GPS)(Garantía en México) - Smartwatch, Reloj Inteligente, Pantalla AMOLED 1.41'', 8GB ROM, Cámara Frontal 5MP, Touch Screen, Bluetooth, Compatible con Android & iOS, Rosa",HUAWEI,gl_wireless,WEARABLE_COMPUTER,2299.0,3999.0,Precio de lista:,43.0,42.51062765691423,Promoción,,BEST_DEAL,,False,4.0,1473.0,https://www.amazon.com.mx/HUAWEI-Watch-Kids-Pro-Inteligente/dp/B09ML1499B,https://m.media-amazon.com/images/I/61s8q2Rg0LL.jpg,0.48937234308576905,Wireless,False,1700.0,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
153,B0CQSNXLJR,"Wavytalk Cepillo Térmico de 1.5 Pulgadas para un Aspecto de Soplado | Doble Voltaje, Rosa, Sakura, Cerámica de Turmalina, Tecnología de Iones Negativos, 5 Ajustes de Temperatura, Menos Daño",wavytalk,gl_personal_care_appliances,HAIR_IRON,999.0,1299.0,Precio de lista:,23.0,23.094688221709006,Promoción,,BEST_DEAL,,False,4.0,6995.0,https://www.amazon.com.mx/Wavytalk-turmalina-tecnolog%C3%ADa-negativos-temperatura/dp/B0CQSNXLJR,https://m.media-amazon.com/images/I/61QfCr+64wL.jpg,0.09468822170900637,Personal Care Appliances,False,300.0,$500–999,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
154,B0CBVB1GLR,"Elegoo 8K Resina Impresora 3D, 1KG 3D Est?ndar de Uv 405nm para Impresora | 3D Saturn 2 3 3 Ultra 4 4 Ultra, Mars 4 4 Ultra, 1000G Color Vainilla",ELEGOO,gl_home_improvement,THERMOPLASTIC_FILAMENT,499.99,1000.0,Precio de lista:,50.0,50.001,Promoción,,BEST_DEAL,,False,5.0,9648.0,https://www.amazon.com.mx/ELEGOO-Resina-Impresora-Est%C3%A1ndar-Vainilla/dp/B0CBVB1GLR,https://m.media-amazon.com/images/I/71ydR7b0y8L.jpg,0.0009999999999976694,Home Improvement,False,500.01,Under $500,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
155,B0CRTYZG5C,"Soundcore by Anker P30i Audífonos Inalámbricos - Negro | 45h de Reproducción, Carga Rápida, Cancelación de Ruido Activa, Llamadas Claras, Bluetooth 5.4, Diseño Soporte para Teléfono",Soundcore,gl_electronics,HEADPHONES,537.98,999.0,Precio de lista:,46.0,46.148148148148145,Promoción,,BEST_DEAL,,False,4.0,41606.0,https://www.amazon.com.mx/Soundcore-Auriculares-Reducci%C3%B3n-Adaptativo-Excepcional/dp/B0CRTYZG5C,https://m.media-amazon.com/images/I/51o-AcAQWgL.jpg,0.14814814814814525,Electronics,False,461.02,$500–999,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
156,B0GG9QKJLW,"JRFYHFT Aspiradora inalambrica 55KPA 650W 70Mins, Aspiradora Vertical con Taza Antipolvo de 1.8 L/Pantalla LED/Antienredos, para Pelo de Mascotas, Alfombras, Suelos de Madera(Morado)",,gl_home,VACUUM_CLEANER,2849.98,3999.99,Precio de lista:,29.0,28.750321875804687,Termina en,2026-09-25T05:59:59.000Z,BEST_DEAL,,False,5.0,1256.0,https://www.amazon.com.mx/JRFYHFT-Aspiradora-inalambrica-Antipolvo-Antienredos/dp/B0GG9QKJLW,https://m.media-amazon.com/images/I/7131GLrKeIL.jpg,0.249678124195313,Home,True,1150.0099999999998,"$2,500–4,999",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
157,B0BJGT1L64,B Life Glicinato de Magnesio Puro con 120 cápsulas,B Life Company,gl_drugstore,NUTRITIONAL_SUPPLEMENT,234.98,289.0,Precio de lista:,19.0,18.692041522491355,Promoción,,BEST_DEAL,,False,5.0,3301.0,https://www.amazon.com.mx/Glicinato-Magnesio-Ingredientes-naturales-Glycinate/dp/B0BJGT1L64,https://m.media-amazon.com/images/I/510xKqQquwL.jpg,0.30795847750864525,Drugstore,False,54.02000000000001,Under $500,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
158,B0899WXR2Y,"Dreamlab Cubrecolchón Impermeable Matrimonial 135x190x45 cm | 100% impermeable bloquea líquidos, sudor y derrames. Hipoalergénico y antiácaros. Ultra suave y silencioso. Ajuste hasta 45cm",Dreamlab,gl_home,MATTRESS_COVER,349.0,398.0,Precio de lista:,12.0,12.311557788944723,Promoción,,BEST_DEAL,,False,4.0,7827.0,https://www.amazon.com.mx/Dreamlab-Protector-Impermeable-hipoalerg%C3%A9nico-Matrimonial/dp/B0899WXR2Y,https://m.media-amazon.com/images/I/51gUCLVjJBL.jpg,0.3115577889447234,Home,False,49.0,Under $500,2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
159,B0DSGN7ZGH,"XIAOMI Watch S4 con GPS, iOS & Android, Modo Deportivo Avanzado, Rainbow | Pantalla AMOLED de 1.43'', Hasta 10 días de Batería, 150+ Modos Deportivos, Monitor Frecuencia Cardíaca y Sueño",Xiaomi,gl_wireless,WEARABLE_COMPUTER,2299.0,2829.0,Anterior:,19.0,18.734535171438672,Promoción,,BEST_DEAL,,False,4.0,2880.0,https://www.amazon.com.mx/XIAOMI-Watch-Smartwatch-Rainbow-Intercambiable/dp/B0DSGN7ZGH,https://m.media-amazon.com/images/I/71Z90ZCFZZL.jpg,0.2654648285613277,Wireless,False,530.0,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
160,B0CXLT4NLS,"MXNUP Monitor Bebé 5 Pulgadas, Monitor para Bebe con Cámara | Visión Nocturna Infrarroja, Monitoreo de Temperatura, Audio Bidireccional, Canciones de Cuna, Encriptación Digital",,gl_baby_product,SECURITY_CAMERA,1199.2,1499.0,Precio de lista:,20.0,20.0,Promoción,,BEST_DEAL,,False,4.0,335.0,https://www.amazon.com.mx/MXNUP-Encriptaci%C3%B3n-Temperatura-Comunicaci%C3%B3n-Bidireccional/dp/B0CXLT4NLS,https://m.media-amazon.com/images/I/61CjoJwzpfL.jpg,0.0,Baby Product,False,299.79999999999995,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
161,B0GS94P63X,"Hisense televisión U6S Pantalla 55“ Pulgadas,Mini-LED 4K AI Smart TV,144Hz Nativos，Procesador Hi-View AI，IMAX Enhanced,Subwoofer Integrado,Vidaa TV【Patrocinador Oficial de FIFA World Cup 2026™】",Hisense,gl_home_entertainment,TELEVISION,9490.0,15899.0,Precio de lista:,40.0,40.31071136549468,Promoción,,BEST_DEAL,,False,4.0,137.0,https://www.amazon.com.mx/Hisense-televisi%C3%B3n-Nativos%EF%BC%8CProcesador-Subwoofer-TV%E3%80%90Patrocinador/dp/B0GS94P63X,https://m.media-amazon.com/images/I/81laathJ3xL.jpg,0.3107113654946829,Home Entertainment,False,6409.0,"$5,000+",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
162,B0F48WNR88,"Philips OneBlade Pro Afeitadora y Recortadora Eléctrica Face&Body Hombre | Recorta, perfila y afeita | Corta el vello, no tu piel | Uso seco y húmedo | Accesorios para cara y cuerpo | QP6542/10",PHILIPS,gl_personal_care_appliances,ELECTRIC_SHAVER,1169.0,1569.0,Precio de lista:,25.0,25.493945188017847,Promoción,,BEST_DEAL,,False,4.0,440.0,https://www.amazon.com.mx/Philips-OneBlade-longitudes-QP6542-10/dp/B0F48WNR88,https://m.media-amazon.com/images/I/71FGNwBo2uL.jpg,0.4939451880178467,Personal Care Appliances,False,400.0,"$1,000–2,499",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
163,B0FNG9BDYM,"Proyector portátil Epson Lifestudio™ Pop EF61 Blanco Cálido Full HD portátil con Sonido Bose, App Epson Projection Studio y Google TV Integrado, tecnología Triple Core Engine",Epson,gl_home_entertainment,VIDEO_PROJECTOR,9999.0,14499.0,Precio de lista:,31.0,31.036623215394165,Promoción,,BEST_DEAL,,False,5.0,20.0,https://www.amazon.com.mx/Proyector-Epson-LifestudioTM-Projection-tecnolog%C3%ADa/dp/B0FNG9BDYM,https://m.media-amazon.com/images/I/51JeWpofWsL.jpg,0.03662321539416524,Home Entertainment,False,4500.0,"$5,000+",2026-09-24T22:23:06.483588+00:00,Amazon Mexico,MXN
